Ano,Nome do Jogo,Desenvolvedora,Pico de Jogadores Simultâneos,Gênero
2015,Dota 2,Valve Corporation,1276000,Multiplayer Online Battle Arena (MOBA)
2016,No Man's Sky,Hello Games,212613,"Aventura, Sobrevivência"
2017,PlayerUnknown's Battlegrounds,PUBG Corporation,3233000,Battle Royale
2018,Monster Hunter: World,Capcom,334684,"Ação, RPG"
2019,Destiny 2,Bungie,292314,"Shooter, MMO"
2020,Cyberpunk 2077,CD Projekt Red,1054229,"RPG, Ação"
2021,New World,Amazon Games,913634,MMORPG
2022,Lost Ark,Smilegate RPG,1325405,MMORPG
2023,Counter-Strike 2,Valve Corporation,1610680,Shooter
2024,Palworld,Pocketpair,2101867,"Ação, Aventura, RPG, Sobrevivência"
